Код;SchoolName;Type;Level;Organization;Spec;Subject;ShortNameSchool;City;CityType;Region;Address
270;"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа №82""";МОУ;СОО;школа;;;Средняя общеобразовательная школа №82 г. Котласа;Котлас;город;;165300, Архангельская область, г. Котлас, ул. Маяковского, д. 1, фл. 1
271;"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа №91""";МОУ;СОО;школа;;;Средняя общеобразовательная школа №91 г. Котласа;Котлас;город;;165340, Архангельская область, г. Котлас, пос. Вычегодский, ул. Ленина, д. 39
272;"Муниципальное общеобразовательное учреждение ""Вечерняя (сменная) общеобразовательная школа №1""";МОУ;СОО;школа;сменная;вечерняя;Вечерняя (сменная) общеобразовательная школа №1 г. Котласа;Котлас;город;;165300, Архангельская область, г. Котлас, ул. Багратиона, д. 10
273;"Негосударственное общеобразовательное учреждение  ""Школа-интернат №1 среднего (полного) общего образования открытого акционерного общества ""Российские железные дороги""";НГО;СОО;школа;негос;жд;"Школа-интернат №1 среднего (полного) общего образования открытого акционерного общества ""Российские железные дороги""";Котлас;город;;165300, Архангельская область, г. Котлас, ул. Маяковского, д. 3 
274;"Муниципальное образовательное учреждение ""Средняя общеобразовательная школа №1""";МОУ;СОО;школа;;;Средняя общеобразовательная школа №1 г. Новодвинск;Новодвинск;город;;
275;"Муниципальное образовательное учреждение ""Средняя общеобразовательная школа №2""";МОУ;СОО;школа;;;Средняя общеобразовательная школа №2 г. Новодвинск;Новодвинск;город;;
276;"Муниципальное образовательное учреждение ""Средняя общеобразовательная школа №3""";МОУ;СОО;школа;;;Средняя общеобразовательная школа №3 г. Новодвинск;Новодвинск;город;;
277;"Муниципальное образовательное учреждение ""Средняя общеобразовательная школа №4""";МОУ;СОО;школа;;;Средняя общеобразовательная школа №4 г. Новодвинск;Новодвинск;город;;
278;"Муниципальное образовательное учреждение ""Средняя общеобразовательная школа №6""";МОУ;СОО;школа;;;Средняя общеобразовательная школа №6 г. Новодвинск;Новодвинск;город;;
279;"Муниципальное образовательное учреждение ""Средняя общеобразовательная школа №7""";МОУ;СОО;школа;;;Средняя общеобразовательная школа №7 г. Новодвинск;Новодвинск;город;;
280;"Муниципальное образовательное учреждение ""Средняя общеобразовательная школа №8""";МОУ;СОО;школа;;;Средняя общеобразовательная школа №8 г. Новодвинск;Новодвинск;город;;
281;"Муниципальное образовательное учреждение ""Новодвинская гимназия""";МОУ;СОО;гимназия;спец;;Новодвинская гимназия;Новодвинск;город;;
283;"Муниципальное автономное образовательное учреждение ""Средняя общеобразовательная школа №2""";МАОУ;СОО;школа;;;Средняя общеобразовательная школа №2 г. Северодвинск;Северодвинск;город;;164522, Архангельская область, г. Северодвинск, ул. Трухинова, д. 10
